,Country,Fuel,Male_ag,Electricity,School_enroll,Expense_Capita
2,Albania,17.95663564,37.59000015,99.9,1.01730001,61
4,Armenia,3.0215446,31.34000015,99.89702606,1.022830009,173.9
5,Australia,28.88070352,3.539999962,100,0.968850017,1078
6,Austria,3.210142653,5.050000191,100,0.97408998,381
7,Azerbaijan,94.5094628,31.73999977,100,1.002619982,168.1
8,Burundi,2.068497109,79.31999969,6.5,1.03429997,5.9
9,Belgium,8.900679272,1.570000052,100,1.07336998,421.5
11,Burkina Faso,0.016156398,45.97999954,15.43811321,0.98913002,15.5
12,Bangladesh,1.873404523,38.86999893,62.84700394,1.115910053,22.6
13,Bulgaria,13.29463255,8.380000114,100,0.976819992,136.3
14,Bahrain,74.3474764,1.360000014,100,1.021550059,973.4
16,Belarus,27.74925094,13.43999958,100,0.990570009,75.1
17,Belize,36.15245717,26.56999969,91.99225616,0.987559974,63.2
18,Bolivia,43.26881017,28.17000008,90.387375,0.984809995,54.5
22,Canada,25.32436784,2.329999924,100,1.003329992,613.1
23,Switzerland,2.819099845,4.019999981,100,0.970459998,546
24,Chile,0.937953761,13.34000015,100,0.985650003,296.1
25,China,1.690563097,36.29000092,99.9748764,1.014310002,162.9
29,Colombia,57.15978392,24.39999962,97.032176,1.013210058,204.1
30,Costa Rica,0.563620729,14.93000031,99.503298,1.041360021,0
32,Cyprus,0.002351016,3.799999952,100,0.983219981,378.7
33,Germany,1.96777435,1.960000038,100,0.960990012,558.5
35,Denmark,8.070669314,4.050000191,100,0.999819994,792.5
37,Ecuador,55.30301856,32.36000061,97.194929,1.021919966,149.2
38,"Egypt, Arab Rep.",28.67501473,24.47999954,99.7,0.996510029,31.7
40,Spain,5.078957813,5.71999979,100,1.016860008,381.7
41,Estonia,15.75573809,6.429999828,100,1.015769958,464.8
43,Finland,8.007788112,5.889999866,100,1.057899952,680.3
45,France,3.658112685,3.880000114,100,1.000519991,791
47,United Kingdom,12.37406028,1.620000005,100,1.01304996,829.3
48,Georgia,5.033442853,43.91999817,100,1.012490034,83.4
49,Ghana,0.11429416,50.29000092,69.21807098,1.002220035,7.3
54,Greece,26.07657499,13.03999996,100,0.975350022,547.1
55,Guatemala,4.517712727,43.40000153,86.53546143,0.966359973,15.8
58,Croatia,12.46732181,12.31999969,100,1.032649994,232.5
60,Hungary,2.655534079,7.019999981,100,0.994589984,184.6
61,Indonesia,29.63941095,36.34000015,96,0.993399978,28.2
63,Ireland,1.130116681,9.409999847,100,1.06024003,229.8
66,Iceland,1.028225961,8.659999847,100,0.994610012,0
67,Israel,0.86528471,1.580000043,100,1.012850046,2357.5
68,Italy,4.638894048,4.480000019,100,0.978990018,468.8
69,Jamaica,22.61307875,25.87999916,93.1,0.989049971,71.4
70,Jordan,1.077029244,3.589999914,99.5,1.002239943,196.5
72,Kazakhstan,71.68062897,26.04000092,99.79270172,1.012189984,85.8
74,Kyrgyz Republic,7.42229639,30.44000053,99.8,0.996949971,20.2
81,Sri Lanka,0.157835034,29.70000076,87,1.024160028,77.2
83,Lithuania,23.35027875,11.42000008,100,0.975830019,377.1
84,Luxembourg,0.950253839,1.669999957,100,1.000280023,650.8
85,Latvia,5.30562594,11.97999954,100,0.997439981,367.8
86,Morocco,3.310519878,32.04000092,93.75356293,0.941470027,102.6
87,Moldova,0.335665843,29.64999962,100,0.993879974,9.2
88,Madagascar,6.650837104,71.66999817,18.50801086,1.009379983,2.8
89,Mexico,13.76824477,19.46999931,99.111637,1.046270013,46.3
90,North Macedonia,7.679556245,17.12999916,100,0.986109972,57.4
91,Mali,0.008645825,68.22000122,25.6,0.876399994,25.3
92,Malta,25.57537076,1.429999948,100,1.00406003,152.2
93,Myanmar,35.18162978,54.36999893,54.99359894,1.01078999,28.5
94,Montenegro,10.75553352,5.730000019,100,0.989380002,125.7
97,Mauritania,14.42960652,38.18000031,36.43714523,1.046800017,36.1
98,Mauritius,0.000490474,8.369999886,97.38735199,1.044059992,18.1
99,Malawi,0.185685951,72.37999725,7.4,1.001119971,3.2
106,Netherlands,10.16386498,3.680000067,100,1.005849957,651.5
107,Norway,63.69837659,3.480000019,100,0.977540016,1412.7
109,New Zealand,4.944491515,8.800000191,100,1.03718996,532.3
110,Oman,77.75877952,5.739999771,100,0.990920007,1566.5
111,Pakistan,5.711194705,34.40999985,70.63609314,0.848890007,55.3
113,Peru,9.342765974,28.53000069,91.099508,0.958109975,82.8
114,Philippines,2.053277462,39.36000061,87.40706635,1.026489973,26.7
116,Poland,4.154724359,13.27000046,100,0.98022002,317.5
117,Portugal,6.409584682,12.56999969,100,0.98605001,416.7
120,Romania,5.300270381,28.68000031,100,0.998149991,223.5
121,Russian Federation,65.64829331,9.170000076,100,0.977890015,422.8
122,Rwanda,0.068473445,66.77999878,17.5,1.011590004,9.7
124,Saudi Arabia,87.62086325,4.980000019,100,0.977729976,2209.8
127,Singapore,16.05840909,0.140000001,100,0.995630026,1837.9
129,El Salvador,2.922917247,32.58000183,93.680571,0.977670014,45.9
133,Slovenia,4.230779202,8.850000381,100,1.013360023,254.8
134,Sweden,6.981702786,3.029999971,100,1.041970015,574.9
139,Thailand,4.937691549,43.66999817,99.10862355,0.988979995,99
145,Turkey,3.836359723,17.71999931,99.99124908,0.979900002,238.6
146,Tanzania,1.901357011,66.25,15.3,1.027899981,10.7
149,Uruguay,3.099503226,12.21000004,100,1.054409981,368.5
150,United States,7.184568597,1.909999967,100,0.994700015,2086.5
155,South Africa,10.71023368,5.760000229,85.3,1.003010035,62.7